Country,Indicator,Year,Value
Canada,"Inflation, average consumer prices (percent change)",2001,2.525
Canada,"Inflation, average consumer prices (percent change)",2002,2.258
Canada,"Inflation, average consumer prices (percent change)",2003,2.759
Canada,"Inflation, average consumer prices (percent change)",2004,1.857
Canada,"Inflation, average consumer prices (percent change)",2005,2.214
Canada,"Inflation, average consumer prices (percent change)",2006,2.002
Canada,"Inflation, average consumer prices (percent change)",2007,2.138
Canada,"Inflation, average consumer prices (percent change)",2008,2.37
Canada,"Inflation, average consumer prices (percent change)",2009,0.299
Canada,"Inflation, average consumer prices (percent change)",2010,1.777
Canada,"Inflation, average consumer prices (percent change)",2011,2.912
Canada,"Inflation, average consumer prices (percent change)",2012,1.516
Canada,"Inflation, average consumer prices (percent change)",2013,0.938
Canada,"Inflation, average consumer prices (percent change)",2014,1.907
Canada,"Inflation, average consumer prices (percent change)",2015,1.125
Canada,"Inflation, average consumer prices (percent change)",2016,1.429
Canada,"Inflation, average consumer prices (percent change)",2017,1.597
Canada,"Inflation, average consumer prices (percent change)",2018,2.268
Canada,"Inflation, average consumer prices (percent change)",2019,1.949
Canada,"Inflation, average consumer prices (percent change)",2020,0.717
Canada,"Inflation, average consumer prices (percent change)",2021,3.395
Canada,"Inflation, average consumer prices (percent change)",2022,6.779
Canada,"Inflation, average consumer prices (percent change)",2023,3.885
Canada,"Inflation, average consumer prices (percent change)",2024,2.398
Canada,"Inflation, average consumer prices (percent change)",2025,1.963
Canada,"Inflation, average consumer prices (percent change)",2026,2.03
Canada,"Inflation, average consumer prices (percent change)",2027,2.09
Canada,"Inflation, average consumer prices (percent change)",2028,1.966
Canada,"Inflation, average consumer prices (percent change)",2029,1.945
Canada,"Inflation, average consumer prices (percent change)",2030,1.944
Mexico,"Gross domestic product, constant prices (percent change)",1980,9.482
Mexico,"Gross domestic product, constant prices (percent change)",1981,9.586
Mexico,"Gross domestic product, constant prices (percent change)",1982,-0.05
Mexico,"Gross domestic product, constant prices (percent change)",1983,-4.624
Mexico,"Gross domestic product, constant prices (percent change)",1984,3.513
Mexico,"Gross domestic product, constant prices (percent change)",1985,1.919
Mexico,"Gross domestic product, constant prices (percent change)",1986,-3.93
Mexico,"Gross domestic product, constant prices (percent change)",1987,2.063
Mexico,"Gross domestic product, constant prices (percent change)",1988,1.218
Mexico,"Gross domestic product, constant prices (percent change)",1989,3.625
Mexico,"Gross domestic product, constant prices (percent change)",1990,5.25
Mexico,"Gross domestic product, constant prices (percent change)",1991,3.976
Mexico,"Gross domestic product, constant prices (percent change)",1992,3.569
Mexico,"Gross domestic product, constant prices (percent change)",1993,2.867
Mexico,"Gross domestic product, constant prices (percent change)",1994,4.394
Mexico,"Gross domestic product, constant prices (percent change)",1995,-5.91
Mexico,"Gross domestic product, constant prices (percent change)",1996,6.218
Mexico,"Gross domestic product, constant prices (percent change)",1997,7.199
Mexico,"Gross domestic product, constant prices (percent change)",1998,6.185
Mexico,"Gross domestic product, constant prices (percent change)",1999,2.755
Mexico,"Gross domestic product, constant prices (percent change)",2000,5.029
Mexico,"Gross domestic product, constant prices (percent change)",2001,-0.451
Mexico,"Gross domestic product, constant prices (percent change)",2002,-0.237
Mexico,"Gross domestic product, constant prices (percent change)",2003,1.186
Mexico,"Gross domestic product, constant prices (percent change)",2004,3.565
Mexico,"Gross domestic product, constant prices (percent change)",2005,2.113
Mexico,"Gross domestic product, constant prices (percent change)",2006,4.805
Mexico,"Gross domestic product, constant prices (percent change)",2007,2.078
Mexico,"Gross domestic product, constant prices (percent change)",2008,0.943
Mexico,"Gross domestic product, constant prices (percent change)",2009,-6.295
Mexico,"Gross domestic product, constant prices (percent change)",2010,4.971
Mexico,"Gross domestic product, constant prices (percent change)",2011,3.444
Mexico,"Gross domestic product, constant prices (percent change)",2012,3.553
Mexico,"Gross domestic product, constant prices (percent change)",2013,0.852
Mexico,"Gross domestic product, constant prices (percent change)",2014,2.504
Mexico,"Gross domestic product, constant prices (percent change)",2015,2.702
Mexico,"Gross domestic product, constant prices (percent change)",2016,1.772
Mexico,"Gross domestic product, constant prices (percent change)",2017,1.872
Mexico,"Gross domestic product, constant prices (percent change)",2018,1.972
Mexico,"Gross domestic product, constant prices (percent change)",2019,-0.393
Mexico,"Gross domestic product, constant prices (percent change)",2020,-8.354
Mexico,"Gross domestic product, constant prices (percent change)",2021,6.048
Mexico,"Gross domestic product, constant prices (percent change)",2022,3.71
Mexico,"Gross domestic product, constant prices (percent change)",2023,3.354
Mexico,"Gross domestic product, constant prices (percent change)",2024,1.427
Mexico,"Gross domestic product, constant prices (percent change)",2025,0.99
Mexico,"Gross domestic product, constant prices (percent change)",2026,1.544
Mexico,"Gross domestic product, constant prices (percent change)",2027,2.044
Mexico,"Gross domestic product, constant prices (percent change)",2028,2.139
Mexico,"Gross domestic product, constant prices (percent change)",2029,2.084
Mexico,"Gross domestic product, constant prices (percent change)",2030,2.091
Mexico,"Inflation, average consumer prices (percent change)",1980,26.471
Mexico,"Inflation, average consumer prices (percent change)",1981,28.034
Mexico,"Inflation, average consumer prices (percent change)",1982,59.115
Mexico,"Inflation, average consumer prices (percent change)",1983,101.805
Mexico,"Inflation, average consumer prices (percent change)",1984,65.439
Mexico,"Inflation, average consumer prices (percent change)",1985,57.789
Mexico,"Inflation, average consumer prices (percent change)",1986,86.449
Mexico,"Inflation, average consumer prices (percent change)",1987,131.959
Mexico,"Inflation, average consumer prices (percent change)",1988,113.503
Mexico,"Inflation, average consumer prices (percent change)",1989,19.919
Mexico,"Inflation, average consumer prices (percent change)",1990,26.65
Mexico,"Inflation, average consumer prices (percent change)",1991,22.609
Mexico,"Inflation, average consumer prices (percent change)",1992,15.517
Mexico,"Inflation, average consumer prices (percent change)",1993,9.763
Mexico,"Inflation, average consumer prices (percent change)",1994,6.986
Mexico,"Inflation, average consumer prices (percent change)",1995,35.061
Mexico,"Inflation, average consumer prices (percent change)",1996,34.35
Mexico,"Inflation, average consumer prices (percent change)",1997,20.597
Mexico,"Inflation, average consumer prices (percent change)",1998,15.917
Mexico,"Inflation, average consumer prices (percent change)",1999,16.566
Mexico,"Inflation, average consumer prices (percent change)",2000,9.486
Mexico,"Inflation, average consumer prices (percent change)",2001,6.366
Mexico,"Inflation, average consumer prices (percent change)",2002,5.037
Mexico,"Inflation, average consumer prices (percent change)",2003,4.55
Mexico,"Inflation, average consumer prices (percent change)",2004,4.694
Mexico,"Inflation, average consumer prices (percent change)",2005,3.99
Mexico,"Inflation, average consumer prices (percent change)",2006,3.633
Mexico,"Inflation, average consumer prices (percent change)",2007,3.969
Mexico,"Inflation, average consumer prices (percent change)",2008,5.13
Mexico,"Inflation, average consumer prices (percent change)",2009,5.296
Mexico,"Inflation, average consumer prices (percent change)",2010,4.155
Mexico,"Inflation, average consumer prices (percent change)",2011,3.404
Mexico,"Inflation, average consumer prices (percent change)",2012,4.111
Mexico,"Inflation, average consumer prices (percent change)",2013,3.804
Mexico,"Inflation, average consumer prices (percent change)",2014,4.019
Mexico,"Inflation, average consumer prices (percent change)",2015,2.719
Mexico,"Inflation, average consumer prices (percent change)",2016,2.82
Mexico,"Inflation, average consumer prices (percent change)",2017,6.042
Mexico,"Inflation, average consumer prices (percent change)",2018,4.898
Mexico,"Inflation, average consumer prices (percent change)",2019,3.635
Mexico,"Inflation, average consumer prices (percent change)",2020,3.398
Mexico,"Inflation, average consumer prices (percent change)",2021,5.693
Mexico,"Inflation, average consumer prices (percent change)",2022,7.897
Mexico,"Inflation, average consumer prices (percent change)",2023,5.526
Mexico,"Inflation, average consumer prices (percent change)",2024,4.723
Mexico,"Inflation, average consumer prices (percent change)",2025,3.916
Mexico,"Inflation, average consumer prices (percent change)",2026,3.349
Mexico,"Inflation, average consumer prices (percent change)",2027,3.0
Mexico,"Inflation, average consumer prices (percent change)",2028,3.0
Mexico,"Inflation, average consumer prices (percent change)",2029,3.0
Mexico,"Inflation, average consumer prices (percent change)",2030,3.0
United States,"Gross domestic product, constant prices (percent change)",1980,-0.257
United States,"Gross domestic product, constant prices (percent change)",1981,2.537
United States,"Gross domestic product, constant prices (percent change)",1982,-1.803
United States,"Gross domestic product, constant prices (percent change)",1983,4.584
United States,"Gross domestic product, constant prices (percent change)",1984,7.236
United States,"Gross domestic product, constant prices (percent change)",1985,4.169
United States,"Gross domestic product, constant prices (percent change)",1986,3.463
United States,"Gross domestic product, constant prices (percent change)",1987,3.455
United States,"Gross domestic product, constant prices (percent change)",1988,4.177
United States,"Gross domestic product, constant prices (percent change)",1989,3.672
United States,"Gross domestic product, constant prices (percent change)",1990,1.886
United States,"Gross domestic product, constant prices (percent change)",1991,-0.109
United States,"Gross domestic product, constant prices (percent change)",1992,3.522
United States,"Gross domestic product, constant prices (percent change)",1993,2.752
United States,"Gross domestic product, constant prices (percent change)",1994,4.029
United States,"Gross domestic product, constant prices (percent change)",1995,2.685
United States,"Gross domestic product, constant prices (percent change)",1996,3.773
United States,"Gross domestic product, constant prices (percent change)",1997,4.447
United States,"Gross domestic product, constant prices (percent change)",1998,4.483
United States,"Gross domestic product, constant prices (percent change)",1999,4.788
United States,"Gross domestic product, constant prices (percent change)",2000,4.078
United States,"Gross domestic product, constant prices (percent change)",2001,0.956
United States,"Gross domestic product, constant prices (percent change)",2002,1.7
United States,"Gross domestic product, constant prices (percent change)",2003,2.796
United States,"Gross domestic product, constant prices (percent change)",2004,3.848
United States,"Gross domestic product, constant prices (percent change)",2005,3.483
United States,"Gross domestic product, constant prices (percent change)",2006,2.785
United States,"Gross domestic product, constant prices (percent change)",2007,2.004
United States,"Gross domestic product, constant prices (percent change)",2008,0.114
United States,"Gross domestic product, constant prices (percent change)",2009,-2.576
United States,"Gross domestic product, constant prices (percent change)",2010,2.695
United States,"Gross domestic product, constant prices (percent change)",2011,1.564
United States,"Gross domestic product, constant prices (percent change)",2012,2.289
United States,"Gross domestic product, constant prices (percent change)",2013,2.118
United States,"Gross domestic product, constant prices (percent change)",2014,2.524
United States,"Gross domestic product, constant prices (percent change)",2015,2.946
United States,"Gross domestic product, constant prices (percent change)",2016,1.82
United States,"Gross domestic product, constant prices (percent change)",2017,2.458
United States,"Gross domestic product, constant prices (percent change)",2018,2.967
United States,"Gross domestic product, constant prices (percent change)",2019,2.584
United States,"Gross domestic product, constant prices (percent change)",2020,-2.081
United States,"Gross domestic product, constant prices (percent change)",2021,6.152
United States,"Gross domestic product, constant prices (percent change)",2022,2.524
United States,"Gross domestic product, constant prices (percent change)",2023,2.935
United States,"Gross domestic product, constant prices (percent change)",2024,2.793
United States,"Gross domestic product, constant prices (percent change)",2025,2.017
United States,"Gross domestic product, constant prices (percent change)",2026,2.102
United States,"Gross domestic product, constant prices (percent change)",2027,2.055
United States,"Gross domestic product, constant prices (percent change)",2028,2.093
United States,"Gross domestic product, constant prices (percent change)",2029,1.881
United States,"Gross domestic product, constant prices (percent change)",2030,1.753
United States,"Inflation, average consumer prices (percent change)",1980,13.502
United States,"Inflation, average consumer prices (percent change)",1981,10.378
United States,"Inflation, average consumer prices (percent change)",1982,6.158
United States,"Inflation, average consumer prices (percent change)",1983,3.16
United States,"Inflation, average consumer prices (percent change)",1984,4.368
United States,"Inflation, average consumer prices (percent change)",1985,3.528
United States,"Inflation, average consumer prices (percent change)",1986,1.944
United States,"Inflation, average consumer prices (percent change)",1987,3.578
United States,"Inflation, average consumer prices (percent change)",1988,4.1
United States,"Inflation, average consumer prices (percent change)",1989,4.791
United States,"Inflation, average consumer prices (percent change)",1990,5.419
United States,"Inflation, average consumer prices (percent change)",1991,4.216
United States,"Inflation, average consumer prices (percent change)",1992,3.042
United States,"Inflation, average consumer prices (percent change)",1993,2.97
United States,"Inflation, average consumer prices (percent change)",1994,2.596
United States,"Inflation, average consumer prices (percent change)",1995,2.805
United States,"Inflation, average consumer prices (percent change)",1996,2.937
United States,"Inflation, average consumer prices (percent change)",1997,2.338
United States,"Inflation, average consumer prices (percent change)",1998,1.547
United States,"Inflation, average consumer prices (percent change)",1999,2.193
United States,"Inflation, average consumer prices (percent change)",2000,3.367
United States,"Inflation, average consumer prices (percent change)",2001,2.817
United States,"Inflation, average consumer prices (percent change)",2002,1.596
United States,"Inflation, average consumer prices (percent change)",2003,2.298
United States,"Inflation, average consumer prices (percent change)",2004,2.668
United States,"Inflation, average consumer prices (percent change)",2005,3.366
United States,"Inflation, average consumer prices (percent change)",2006,3.222
United States,"Inflation, average consumer prices (percent change)",2007,2.871
United States,"Inflation, average consumer prices (percent change)",2008,3.815
United States,"Inflation, average consumer prices (percent change)",2009,-0.32
United States,"Inflation, average consumer prices (percent change)",2010,1.637
United States,"Inflation, average consumer prices (percent change)",2011,3.14
United States,"Inflation, average consumer prices (percent change)",2012,2.073
United States,"Inflation, average consumer prices (percent change)",2013,1.466
United States,"Inflation, average consumer prices (percent change)",2014,1.615
United States,"Inflation, average consumer prices (percent change)",2015,0.121
United States,"Inflation, average consumer prices (percent change)",2016,1.267
United States,"Inflation, average consumer prices (percent change)",2017,2.131
United States,"Inflation, average consumer prices (percent change)",2018,2.439
United States,"Inflation, average consumer prices (percent change)",2019,1.813
United States,"Inflation, average consumer prices (percent change)",2020,1.253
United States,"Inflation, average consumer prices (percent change)",2021,4.679
United States,"Inflation, average consumer prices (percent change)",2022,7.993
United States,"Inflation, average consumer prices (percent change)",2023,4.128
United States,"Inflation, average consumer prices (percent change)",2024,2.952
United States,"Inflation, average consumer prices (percent change)",2025,2.715
United States,"Inflation, average consumer prices (percent change)",2026,2.435
United States,"Inflation, average consumer prices (percent change)",2027,2.185
United States,"Inflation, average consumer prices (percent change)",2028,2.206
United States,"Inflation, average consumer prices (percent change)",2029,2.203
United States,"Inflation, average consumer prices (percent change)",2030,2.191
